pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,12,3,51,3,,,,,143.85182889993303,144.8530319998972,144.8530319998972,144.8530319998972,144.8530319998972,144.87045589997433,145.84896699991077,145.84896699991077,z,1,0.29451179993338883,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,13,0,52,0,,,,,146.1647208998911,147.1645051999949,147.1645051999949,147.1645051999949,147.1645051999949,147.18033649981953,148.16190659999847,148.16190659999847,x,1,0.34921170002780855,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,13,1,53,1,,,,,148.52844809996895,149.52724029985256,149.52724029985256,149.52724029985256,149.52724029985256,149.54334119986743,150.52493399986997,150.52493399986997,v,1,0.3336900998838246,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,13,2,54,2,,,,,150.89130240003578,151.8909056999255,151.8909056999255,151.8909056999255,151.8909056999255,151.9066129999701,152.88812499982305,152.88812499982305,c,1,0.32475890009664,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,13,3,55,3,,,,,153.23801259999163,154.23600229993463,154.23600229993463,154.23600229993463,154.23600229993463,154.25282399985008,155.23417790001258,155.23417790001258,z,1,0.21995380008593202,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,14,0,56,0,,,,,155.4837366999127,156.48535469989292,156.48535469989292,156.48535469989292,156.48535469989292,156.4987562999595,157.4808275999967,157.4808275999967,x,1,0.4217022000811994,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,14,1,57,1,,,,,157.92992789996788,158.9275837999303,158.9275837999303,158.9275837999303,158.9275837999303,158.944268199848,159.9271017999854,159.9271017999854,v,1,0.31338310008868575,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,14,2,58,2,,,,,160.26012899982743,161.2594258999452,161.2594258999452,161.2594258999452,161.2594258999452,161.27500059991144,162.25675309984945,162.25675309984945,c,1,0.34775369986891747,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,14,3,59,3,,,,,162.62299959990196,163.62190549983643,163.62190549983643,163.62190549983643,163.62190549983643,163.6381571998354,164.6198515999131,164.6198515999131,z,1,0.24679600005038083,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,15,0,60,0,,,,,164.88608470000327,165.88485789997503,165.88485789997503,165.88485789997503,165.88485789997503,165.90116179990582,166.8828874998726,166.8828874998726,x,1,0.19168390007689595,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,15,1,61,1,,,,,167.09941249992698,168.0976747998502,168.0976747998502,168.0976747998502,168.0976747998502,168.11469720001332,169.09630679991096,169.09630679991096,v,1,0.3631600998342037,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,15,2,62,2,,,,,169.47777369990945,170.47586510004476,170.47586510004476,170.47586510004476,170.47586510004476,170.4921448000241,171.47475299984217,171.47475299984217,c,1,0.3169234001543373,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,15,3,63,3,,,,,171.80783790000714,172.80754489987157,172.80754489987157,172.80754489987157,172.80754489987157,172.80754489987157,173.80542809981853,173.80542809981853,z,1,0.04402719996869564,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,16,0,64,0,,,,,173.8720460999757,174.87065509986132,174.87065509986132,174.87065509986132,174.87065509986132,174.88713619997725,175.86886539985426,175.86886539985426,x,1,0.47376820002682507,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,16,1,65,1,,,,,176.36833179998212,177.36700269998983,177.36700269998983,177.36700269998983,177.36700269998983,177.38351489999332,178.3653015999589,178.3653015999589,v,1,0.4820177999790758,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,16,2,66,2,,,,,178.86475720000453,179.8644635998644,179.8644635998644,179.8644635998644,179.8644635998644,179.8813099998515,180.86162259988487,180.86162259988487,c,1,0.29558719997294247,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,16,3,67,3,,,,,181.17778140003793,182.17633019993082,182.17633019993082,182.17633019993082,182.17633019993082,182.19255329994485,183.17452879995108,183.17452879995108,z,1,0.3024917000439018,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,17,0,68,0,,,,,183.50730189983733,184.50608069985174,184.50608069985174,184.50608069985174,184.50608069985174,184.52256249985658,185.5041198998224,185.5041198998224,x,1,0.31988510000519454,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,17,1,69,1,,,,,185.85368579998612,186.85289169987664,186.85289169987664,186.85289169987664,186.85289169987664,186.868866099976,187.85177139984444,187.85177139984444,v,1,0.444708300055936,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,17,2,70,2,,,,,188.31615519989282,189.3149151999969,189.3149151999969,189.3149151999969,189.3149151999969,189.3149151999969,190.31326209986582,190.31326209986582,c,1,0.2702021000441164,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,17,3,71,3,,,,,190.61312719993293,191.6116227998864,191.6116227998864,191.6116227998864,191.6116227998864,191.62806260003708,192.6100007998757,192.6100007998757,z,1,0.29452360002323985,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,18,0,72,0,,,,,192.9262383999303,193.92515539983287,193.92515539983287,193.92515539983287,193.92515539983287,193.94118359987624,194.92475779983215,194.92475779983215,x,1,0.3423545998521149,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,18,1,73,1,,,,,195.28911799984053,196.28784230002202,196.28784230002202,196.28784230002202,196.28784230002202,196.30420739995316,197.28577620000578,197.28577620000578,v,1,0.3727855000179261,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,18,2,74,2,,,,,197.68536049989052,198.6855897998903,198.6855897998903,198.6855897998903,198.6855897998903,198.70055159996264,199.68218709994107,199.68218709994107,c,1,0.3244184001814574,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,18,3,75,3,,,,,200.03140520001762,201.03068939992227,201.03068939992227,201.03068939992227,201.03068939992227,201.03068939992227,202.02849199995399,202.02849199995399,z,1,0.47262070002034307,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,19,0,76,0,,,,,202.52766759996302,203.52669389988296,203.52669389988296,203.52669389988296,203.52669389988296,203.5428847000003,204.5245333998464,204.5245333998464,x,1,0.37153339991346,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,19,1,77,1,,,,,204.92397290002555,205.92276749992743,205.92276749992743,205.92276749992743,205.92276749992743,205.92276749992743,206.92112999991514,206.92112999991514,v,1,0.41321410005912185,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,19,2,78,2,,,,,207.35376510000788,208.35319029982202,208.35319029982202,208.35319029982202,208.35319029982202,208.36922560003586,209.35060360003263,209.35060360003263,c,1,0.3909869999624789,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,19,3,79,3,,,,,209.7670660999138,210.7660913998261,210.7660913998261,210.7660913998261,210.7660913998261,210.7824277000036,211.76600369997323,211.76600369997323,z,1,0.39395040017552674,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
